current,all_time,app_id,24_peak,title
407,847,574050,527,DRAGON QUEST HEROES II
406,"3,300",212160,447,Vindictus
406,724,574630,410,Word Killer: Revolution
405,"79,523",236430,598,DARK SOULS II
403,"1,703",3590,500,Plants vs. Zombies: Game of the Year
403,"1,393",410900,777,Forts
402,"2,515",526790,482,Monsti
401,"1,729",99900,477,Spiral Knights
398,"4,701",434650,"1,952",Lost Castle
398,"4,307",15620,645,"Warhammer 40,000: Dawn of War II"
398,"1,031",586140,706,BlazBlue Centralfiction
395,"1,051",574640,410,Unalive
393,"4,911",332310,770,LEGO Worlds
393,958,301120,467,Eastside Hockey Manager
390,"3,740",228280,456,Baldur's Gate: Enhanced Edition
388,"1,543",290340,503,Armello
386,"1,958",366220,445,Wurm Unlimited
383,"1,700",268650,391,From The Depths
381,"2,533",35140,545,Batman: Arkham Asylum GOTY Edition
381,700,388080,440,Borderless Gaming
380,"10,401",22370,468,Fallout 3 - Game of the Year Edition
380,"1,088",502520,410,Ultimate General: Civil War
378,"70,386",63380,716,Sniper Elite V2
377,"4,512",375960,722,Pro Evolution Soccer 2016
375,"3,613",402570,491,Atlas Reactor
373,"13,445",213670,492,South Park: The Stick of Truth
371,"1,116",485610,799,Ball 3D: Soccer Online
369,"8,117",113200,516,The Binding of Isaac
369,"2,413",516700,482,Zombie Boom
369,"1,774",392110,503,Endless Space 2
368,"2,927",388410,409,Darksiders II Deathinitive Edition
367,"2,377",408760,"1,052",Pro Cycling Manager 2016
366,"1,694",24780,408,SimCity 4 Deluxe
364,"1,718",42680,805,Call of Duty: Modern Warfare 3
358,"8,085",429660,509,Tales of Berseria
356,"16,013",204360,474,Castle Crashers
356,"4,773",402710,466,Osiris: New Dawn
347,"11,957",201810,484,Wolfenstein: The New Order
345,"2,249",17460,456,Mass Effect
344,966,402430,441,Out of the Park Baseball 17
342,596,446020,596,Jalopy
341,"1,618",480650,377,Yu-Gi-Oh! Legacy of the Duelist
341,"1,034",526580,652,Winning Post 8 2017
340,"4,196",220700,377,RPG Maker VX Ace
338,"1,660",306020,405,Bloons TD5
336,"3,537",265630,579,Fistful of Frags
335,"1,166",559500,374,Sleengster
334,"3,952",24960,606,Battlefield: Bad Company 2
333,"8,278",536220,495,The Walking Dead: A New Frontier
332,"2,372",291410,391,Duelyst
332,861,312060,363,FINAL FANTASY XIV: A Realm Reborn Free Trial
329,"6,508",360830,402,Yooka-Laylee
329,"1,369",578250,653,Invention
325,"6,670",403190,442,Planetbase
325,"1,149",9420,552,Supreme Commander: Forged Alliance
324,"8,640",299360,933,Block N Load
324,"1,796",2700,401,RollerCoaster Tycoon 3: Platinum!
323,938,268400,504,Panzer Corps
321,"3,283",248390,606,Craft The World
319,599,622650,420,Bendy and the Ink Machine
318,"6,511",236690,626,Blood Bowl 2
